YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,WS2M,T2M_MAX,T2M_MIN,T2MDEW,QV2M,PRECTOTCORR,PS,WD10M,WS10M_MAX,WS10M_MIN
2022,1,1,4.46,4.49,2.01,29.35,17.95,17.98,12.88,0,100.47,160.19,5.41,0.91
2022,1,2,4.36,4.33,1.62,29.72,18.14,18.25,13.12,0,100.33,140.62,4.44,0.14
2022,1,3,4.25,4.22,1.78,29.65,18.65,18.47,13.31,0,100.28,140,4.89,0.92
2022,1,4,4.45,4.41,1.52,30.3,18.7,17.37,12.39,0,100.25,126.12,4.58,0.13
2022,1,5,4,4.25,1.7,29.41,18.01,16.94,12.08,0,100.24,169.19,4.86,1.7
2022,1,6,4.12,4.37,1.45,28.09,18.12,18.58,13.43,0.13,100.2,154.94,3.08,0.65
2022,1,7,4.4,4.51,1.7,27.91,17.3,18.08,13,0.02,100.16,185.12,4.06,0.45
2022,1,8,2.43,4.8,1.47,27.4,19.02,18.6,13.43,1.44,100.23,230,3.45,0.12
2022,1,9,4.76,5.09,2.13,25.91,15.43,15.66,11.17,0.14,100.23,196.94,3.89,2.27
2022,1,10,5.25,5.38,1.9,25.26,12.58,11.58,8.54,0,100.26,173.81,3.84,1.64
2022,1,11,5.09,5.37,1.52,24.35,12.68,12.04,8.85,0,100.27,206.19,3.09,0.47
2022,1,12,4.8,4.89,1.81,25.93,11.79,13.36,9.58,0,100.19,191.81,3.98,0.52
2022,1,13,3.97,4.66,1.72,25.61,13.18,14.15,10.13,0,100.11,166.69,3.81,1.77
2022,1,14,4.3,4.67,1.25,26.58,15.5,16.24,11.54,0.06,100.14,187.38,3.14,0.06
2022,1,15,4.6,4.61,1.92,28.91,16.46,16.49,11.72,0,100.19,146.75,5.35,0.3
2022,1,16,4.95,4.93,2.17,30.69,16.58,16.27,11.6,0,100.22,108.12,5.9,0.48
2022,1,17,4.55,4.53,1.77,30.24,17.94,17.51,12.51,0,100.43,150,4.93,0.59
2022,1,18,5.01,5.01,1.66,31.06,18.07,16.5,11.72,0,100.36,148.19,3.99,0.66
2022,1,19,5.36,5.32,1.88,31.3,16.52,14.44,10.31,0,100.23,190.62,5.01,1.33
2022,1,20,5.5,5.5,1.74,30.23,17.08,13.67,9.83,0,100.06,191.5,3.67,0.84
2022,1,21,5.12,5.26,1.45,28.86,16.8,17.13,12.27,0.05,100.06,208.69,3.45,0.95
2022,1,22,4.76,5.3,2.09,27.72,19.2,19.37,14.1,0.31,99.91,247.12,5.76,0.18
2022,1,23,3.57,5.09,2.62,23.48,14.12,13.94,10.07,0.06,100.02,287.19,4.77,2.79
2022,1,24,4.73,4.98,1.98,24.64,10.43,6.15,6.04,0,100.1,152.94,3.66,2.52
2022,1,25,5.03,5.04,1.98,26.25,9.48,5.63,5.8,0,100.09,164,4.99,0.54
2022,1,26,5.12,5.1,1.7,28.19,10.98,8.23,6.9,0,100.09,158.06,4.8,0.12
2022,1,27,5.25,5.25,2.2,29.7,12.62,9.53,7.51,0,100.1,143.94,6.34,0.52
2022,1,28,5.16,5.14,2.69,30.47,13.65,10.29,7.93,0,100.18,136.12,7.47,0.35
2022,1,29,5.63,5.61,2.26,31.19,14.36,9.65,7.63,0,100.29,144.62,7.2,0.05
2022,1,30,5.63,5.61,1.5,31.51,14.22,10.52,8.06,0,100.18,169.44,4.23,0.35
2022,1,31,5.95,5.92,1.59,32.01,14.22,9.37,7.51,0,100.07,139.25,3.87,0.23
2022,2,1,5.73,5.71,1.78,32.34,14.58,10.05,7.93,0,100,151.81,3.62,1.81
2022,2,2,5.73,5.72,1.53,32.19,15.48,12.04,8.97,0,100.03,180.25,2.98,1.23
2022,2,3,5.9,5.94,1.74,29.19,15.21,16.23,11.6,0,99.99,204,4.48,1.2
2022,2,4,5.71,5.9,1.17,28.23,17.43,14.21,10.31,0,99.96,291.44,3.07,0.7
2022,2,5,5.79,5.79,1.67,30.71,13.53,9.57,7.63,0,100,158.38,3.95,0.98
2022,2,6,5.47,5.46,1.96,32.98,13.6,10.74,8.24,0,100.18,168.38,4.62,1.69
2022,2,7,5.38,5.57,1.73,28.47,16.58,15.17,10.8,0,100.3,226.12,3.75,1.41
2022,2,8,5.64,5.71,1.81,28.12,16.07,16.2,11.54,0,100.21,211.38,4.69,1.73
2022,2,9,5.63,5.79,1.89,29.49,15.65,16.07,11.41,0.02,100.17,210.75,3.64,1.47
2022,2,10,5.79,5.79,1.98,32.3,15.15,11.48,8.61,0,100.12,138.81,4.98,0.37
2022,2,11,5.66,5.64,2.66,33.62,16.44,10.82,8.18,0,100.06,114.81,7.1,1.2
2022,2,12,5.49,5.48,2.6,33.39,16.55,10.32,8,0,100.02,162.88,7.06,0.48
2022,2,13,5.51,5.49,1.87,33.48,16.92,10.95,8.36,0,99.86,153.31,4.23,0.78
2022,2,14,6.01,5.98,2.02,30.6,16.9,13.38,9.7,0,99.94,199.75,3.92,1.77
2022,2,15,5.95,5.92,1.71,29.69,16.05,13.77,9.95,0,99.99,192.62,4.33,0.57
2022,2,16,6.1,6.09,1.46,29.4,15.37,14.72,10.56,0,99.86,186.88,3.4,0.84
2022,2,17,6.31,6.3,1.58,31.14,15.88,14.28,10.31,0,99.72,177,3.45,1
2022,2,18,6.17,6.15,1.63,31.4,17.05,14.47,10.38,0,99.82,203.62,3.46,0.9
2022,2,19,5.93,5.94,1.56,34.21,17.59,15.02,10.74,0,100.03,153.62,3.73,0.16
2022,2,20,6.14,6.14,1.77,34.37,18.7,13.01,9.52,0.22,99.97,176.19,3.87,1.88
2022,2,21,6.43,6.42,1.77,34.15,17.71,10.17,8,0,99.91,181.38,4.78,1.35
2022,2,22,6.35,6.34,1.55,36.12,17.26,11.25,8.61,0,99.99,158.12,3.72,0.45
2022,2,23,6.17,6.16,1.56,36.4,18.14,12.87,9.46,0,100.11,156.88,3.97,0.09
2022,2,24,5.89,5.89,1.41,35.09,20.44,14.08,10.19,0,100.26,152.5,4.19,0.73
2022,2,25,5.97,5.96,1.55,35.44,19.63,13.45,9.83,0,100.18,165.62,4.16,0.6
2022,2,26,5.84,5.84,1.93,35.05,20.62,12.98,9.46,0.01,100.17,163.44,4.65,1.55
2022,2,27,6.07,6.07,1.95,35.49,18.8,11.64,8.67,0,100.21,147.06,4.62,1.51
2022,2,28,6.16,6.18,1.99,36.37,18.33,8.81,7.2,0,100.13,154.81,4.55,0.43
2022,3,1,6,6.01,2.1,37.26,19.2,9.24,7.45,0,100.12,134.5,4.01,1.24
2022,3,2,5.91,5.98,2.39,37.84,19.9,10.06,7.75,0,100.03,149.44,6.13,0.65
2022,3,3,5.97,6.09,3.24,37.73,21.1,9.04,7.26,0,100.02,114.44,5.73,2.85
2022,3,4,6.15,6.15,3.18,37.93,21.28,8.5,6.96,0,100.06,120.06,5.94,2.51
2022,3,5,5.97,5.99,2.68,38.25,20.9,9.03,7.26,0,99.97,150.19,5.66,0.06
2022,3,6,5.57,5.58,2.21,37.86,21.22,10.57,8,0,99.88,145.25,5.13,0.38
2022,3,7,5.32,5.75,2.34,37.57,22.46,12.07,8.91,0.17,99.9,163.12,4.34,2.3
2022,3,8,5.11,5.7,2.23,38.21,23.49,13.97,10.13,0.1,99.89,150.06,5.37,1.03
2022,3,9,5.36,5.82,2.02,38.33,25.01,15.45,11.11,0.1,99.89,145.38,4.97,0.45
2022,3,10,5.24,5.31,2.45,36.75,23.7,13.24,9.58,0.05,99.88,164,4.56,2.62
2022,3,11,5.6,5.6,1.77,37.69,23.57,13.35,9.64,0.21,99.86,175,4.26,0.94
2022,3,12,6.12,6.12,2.2,38.44,23.62,14.2,10.19,0.01,99.83,190.75,5.37,0.63
2022,3,13,6.21,6.21,2.57,39.74,22.13,9.94,7.81,0,99.83,152.69,6.17,1.55
2022,3,14,6.54,6.57,2.72,40.65,22.09,5.36,5.92,0,99.86,158.06,5.84,2.33
2022,3,15,6.78,6.82,2.38,40.97,22.74,9.84,8.06,0,99.76,156.62,5.71,2.2
2022,3,16,6.64,6.72,2.46,41.69,22.41,10.1,8.24,0,99.62,162.38,5.65,2.32
2022,3,17,6.61,6.74,2.33,42.16,22.96,10.38,8.24,0.24,99.57,159.56,6.19,1.59
2022,3,18,6.61,6.67,2.3,41.31,23.62,12.33,9.46,0.42,99.5,193.88,6.86,0.98
2022,3,19,5.63,6.51,2.12,39.65,23.1,16.68,12.63,0.45,99.52,241.5,7.8,0.47
2022,3,20,4.94,6.28,1.95,37.96,23.21,17.04,12.63,0.03,99.59,272.69,6.3,0.17
2022,3,21,5.78,6.16,2.3,39.27,22.23,16.15,12.08,0.01,99.67,238.12,5.91,1.46
2022,3,22,3.86,6.08,2.22,41.62,22.31,12.58,9.64,0.44,99.61,135.31,5.53,1.52
2022,3,23,4.8,5.81,1.99,41.74,22.91,12.24,9.34,2.24,99.55,159.56,5.5,1.08
2022,3,24,3.5,5.61,2.02,40.94,23.05,13.24,10.07,1.56,99.56,152.94,6.05,1.25
2022,3,25,5.33,5.64,1.61,38.93,22.81,16.9,12.57,0,99.74,211.62,5.16,0.56
2022,3,26,5.33,5.61,1.72,38.21,23.82,16.85,12.21,0.01,99.95,247.44,5.73,0.1
2022,3,27,6.24,6.35,1.62,40.36,23.9,17.92,13.12,0,99.95,226.69,6.46,0.14
2022,3,28,6.28,6.46,1.86,40.35,24.26,18.37,13.55,0,99.88,239.12,6.36,0.23
2022,3,29,6.82,6.89,2.23,40.87,23.69,15.49,11.54,0.08,99.75,199.75,6.6,1.15
2022,3,30,7.37,7.41,2.21,40.49,22.94,15.14,11.47,0.1,99.72,220.5,5.85,1.13
2022,3,31,7.39,7.45,2.04,39.9,22.08,14.82,11.41,0,99.79,209.44,5.44,0.91
2022,4,1,7.22,7.36,2.15,40.13,20.8,11.63,9.09,0,99.79,199.06,5.36,0.65
2022,4,2,6.93,7.15,1.91,40.17,22.6,14.49,10.93,0,99.87,236.25,6,0.77
2022,4,3,6.58,6.73,2.34,41.12,21.99,16.01,11.96,0,99.8,190.75,7.15,0.96
2022,4,4,6.2,6.39,1.92,41.17,24.86,16.51,12.15,0.03,99.81,247.88,6.61,0.42
2022,4,5,6.08,6.52,2.18,41.55,24.33,19.35,14.53,0.18,99.97,224.5,6.6,0.75
2022,4,6,6.36,6.59,2.14,41.37,24.18,19.69,14.83,0.22,99.99,229.88,6.87,0.7
2022,4,7,6.77,6.93,2.51,41.72,24.92,17.58,13.43,0.21,99.84,216.25,7.16,1
2022,4,8,6.68,6.8,2.08,41.65,24.69,17.13,13,0.4,99.69,192.62,6.25,1.05
2022,4,9,5.74,6.36,2.25,39.25,25.4,19.65,15.14,0.19,99.71,247.88,5.74,0.46
2022,4,10,6.18,6.54,1.82,38.41,25.26,19.82,15.01,0.05,99.71,247.56,5.13,0.45
2022,4,11,5.81,6.58,1.85,40.23,25.23,17.8,13.18,0.04,99.64,276.56,5.85,0.32
2022,4,12,6.02,6.41,1.96,41.38,25.66,15.8,11.66,0,99.54,231.06,6.8,0.09
2022,4,13,6.15,6.35,1.73,39.62,25.51,14.97,11.29,0.01,99.47,239.62,4.96,0.33
2022,4,14,6.34,6.57,2.01,37.75,25.53,18.04,13.31,0.02,99.52,217.12,4.48,1.53
2022,4,15,6.97,7.09,2.05,38.19,25.38,18.98,14.16,0.05,99.6,265.06,5.11,0.92
2022,4,16,7.19,7.28,1.89,38.96,23.72,18.05,13.43,0.02,99.53,253.44,5.23,0.87
2022,4,17,7.1,7.25,1.94,39.61,23.51,18.24,13.61,0.02,99.59,236.56,6.24,0.45
2022,4,18,7.07,7.19,2.05,39.88,24.46,18.74,13.85,0.02,99.77,283.69,6.18,0.87
2022,4,19,6.02,6.89,2.14,36.73,25.23,19.87,14.77,0.05,99.97,279.12,5.24,0.88
2022,4,20,5.63,6.67,2.31,37.27,25.62,19.79,14.71,0.14,99.77,304.06,5.88,0.67
2022,4,21,5.95,6.65,2.84,41.77,26.3,15.37,11.17,0.07,99.49,193.56,5.78,2.34
2022,4,22,6.33,6.58,2.49,42.37,27.59,16.61,12.21,0.78,99.55,190.88,6.38,0.31
2022,4,23,6.36,6.48,1.8,41.9,27.1,19.62,15.01,0.75,99.68,212.75,5.02,0.28
2022,4,24,5.34,6.49,2.23,40.42,26.9,19.94,15.5,0.28,99.66,251.56,5.68,0.54
2022,4,25,6.9,7.03,2.34,42.98,25.86,17.19,13,0.08,99.56,208.75,6.55,1.28
2022,4,26,6.85,7.07,2.01,40.77,26.58,17.06,12.63,0.13,99.61,297.75,6.05,0.27
2022,4,27,6.96,7.12,2.89,43.06,26.55,16.13,12.02,0.01,99.55,239.69,6.93,1.66
2022,4,28,6.86,6.97,2.7,42.99,27.7,16.33,12.08,0.02,99.58,205.44,6.45,0.7
2022,4,29,6.9,7.18,2.03,39.86,26.69,20.77,15.81,0.02,99.74,257.31,5.09,1.12
2022,4,30,7.44,7.54,2.21,39.94,25.94,19.06,14.4,0.02,99.57,209.25,5.72,0.91
2022,5,1,7.54,7.64,2.28,38.94,25.73,21.19,16.24,0.02,99.5,257.88,6.05,0.41
2022,5,2,7.26,7.5,2.1,37.48,26.12,21.9,16.85,0.02,99.49,249.38,5.49,1.3
2022,5,3,7.15,7.39,2.09,35.98,26.23,22.41,17.27,0.02,99.58,266.5,4.93,1.24
2022,5,4,7.2,7.32,2.18,38.57,25.8,20.41,15.44,0,99.68,266.94,5.64,0.91
2022,5,5,7.09,7.22,2.85,38.92,25.33,20.32,15.26,0,99.65,290.06,6.14,1.91
2022,5,6,7.03,7.19,2.77,39.26,25.33,21.05,15.93,0.03,99.57,314.25,7.36,1.2
2022,5,7,6.87,7.1,3.05,38.9,26.21,21.51,16.48,0.01,99.54,304.5,6.07,1.55
2022,5,8,6.68,6.86,2.59,40,26.43,21.75,16.72,0.14,99.38,307.5,7.33,0.82
2022,5,9,5.17,6.57,3.39,40.12,26.6,21.4,16.54,0.18,99.28,301.5,7.66,1.56
2022,5,10,5.56,6.73,3.73,38.79,26.87,22.33,17.27,0.14,99.26,300.88,7.05,2.9
2022,5,11,4.85,6.62,3.39,38.61,27.56,23.21,18.07,0.13,99.26,277.62,7.23,2.35
2022,5,12,4.35,6.63,3.7,37.48,28.03,23.51,18.37,0.13,99.33,252.75,5.62,3.64
2022,5,13,6.22,6.76,3.77,37.4,27.78,22.82,17.64,0.09,99.31,248.94,5.91,3.31
2022,5,14,6.34,6.8,3.82,37.69,27.78,22.64,17.46,0.08,99.35,249.94,5.86,3.75
2022,5,15,6.75,6.95,3.53,37.55,27.61,22.4,17.15,0.08,99.47,268.56,5.88,3.13
2022,5,16,6.82,6.96,3.15,38.42,27.55,22.76,17.52,0.25,99.43,287.69,6.04,2.28
2022,5,17,6.11,6.83,3.12,37.89,27.68,22.37,17.21,0.37,99.32,285.31,5.7,2.42
2022,5,18,6.2,6.69,3.03,37.51,27.27,22.15,16.97,0.16,99.4,259,5.54,1.89
2022,5,19,5.43,5.97,2.66,38.3,27.08,21.37,16.24,0.46,99.45,291.25,6.91,1.46
2022,5,20,4.66,6.36,3.38,36.9,27.28,22.01,16.78,0.15,99.53,258.56,6.22,2.22
2022,5,21,6.3,6.52,4.42,35.3,27.3,22.73,17.46,0.07,99.48,244.75,7.3,3.68
2022,5,22,6.73,6.95,4.77,35.51,26.94,22.83,17.64,0.3,99.31,243.44,8.06,4.2
2022,5,23,6.82,7.1,4.51,35.45,27.58,23.53,18.37,2.86,99.25,241.94,7.45,4.17
2022,5,24,6.54,6.74,3.79,35.66,27.54,23.51,18.31,1.9,99.52,255.38,6.55,2.81
2022,5,25,6.78,6.92,2.93,35.84,26.75,22.38,17.09,0.34,99.74,279.25,5.76,2.12
2022,5,26,7.09,7.26,3.11,36.05,26.34,21.41,16.05,0.05,99.7,266.25,5.84,2.08
2022,5,27,7.2,7.33,3.73,36.36,27.44,21.43,16.11,0.01,99.65,258.69,6.86,2.73
2022,5,28,7.14,7.3,3.88,36.4,27.78,21.75,16.42,0.01,99.56,256,6.59,3.35
2022,5,29,6.67,6.84,3.91,35.55,27.82,22.05,16.72,0.01,99.57,261.25,6.78,3.34
2022,5,30,6.46,6.75,3.6,36.22,26.98,22.1,16.78,0.01,99.53,268.19,6.25,2.46
2022,5,31,6.81,7.2,3.63,36.35,27.33,21.59,16.3,0.27,99.46,278.44,6.17,2.54
2022,6,1,5,6.75,3.27,36.9,27.06,22.15,16.85,0.53,99.44,285.38,5.55,2.8
2022,6,2,6.17,6.67,3.45,36.57,27.37,21.77,16.54,0.19,99.49,284.25,6.21,1.87
2022,6,3,6.53,6.82,3.58,36.6,27.4,22.13,16.91,0.25,99.47,274.44,5.84,3.21
2022,6,4,6.57,6.83,3.35,37.18,27.04,21.79,16.6,0.27,99.43,276.5,5.55,2.98
2022,6,5,6.47,6.82,2.94,37.19,26.92,21.87,16.6,0.12,99.41,268.56,5.75,1.87
2022,6,6,6.1,6.53,3.09,36.59,27.12,21.92,16.66,0.12,99.45,262,5.74,1.95
2022,6,7,5.58,6.39,3.23,35.05,27.69,22.6,17.33,1.52,99.5,252.56,5.2,2.79
2022,6,8,6.06,6.53,3.24,34.67,27.36,23.58,18.43,1.23,99.48,258.62,5.34,2.87
2022,6,9,5.91,6.79,2.91,34.02,27.48,23.94,18.86,3.12,99.37,252.12,4.62,2.12
2022,6,10,4.92,6.71,2.56,32.6,27.12,24.44,19.41,11.24,99.39,247.81,4.67,1.69
2022,6,11,2.48,7.04,3.39,30.67,26.23,24.72,19.71,25.37,99.46,222.94,6.45,2.95
2022,6,12,3.83,7.11,3.6,32,25.81,23.82,18.68,5.52,99.43,216.5,6.88,2.8
2022,6,13,6.24,7.17,3.78,33.79,25.84,23.79,18.68,1.57,99.55,197.06,6.46,3.45
2022,6,14,6.57,7.24,3.8,34.55,26.3,23.69,18.55,1.62,99.55,205.5,7.13,3.34
2022,6,15,6.5,7.16,3.59,32.9,26.34,24.51,19.47,4.86,99.46,228.75,6.59,3
2022,6,16,6.2,7.01,3.3,32.34,26.61,24.49,19.47,9.21,99.42,238.06,6.91,2.62
2022,6,17,5.19,6.98,2.95,30.7,26.41,24.69,19.71,7.5,99.38,218.12,5.55,2.42
2022,6,18,4.73,7.1,3.68,32.84,25.48,24.08,18.98,6.8,99.39,204.69,6.25,3.13
2022,6,19,2.79,7.11,4.32,32.05,26.53,25.05,20.14,29.13,99.4,234.31,8.3,3.62
2022,6,20,1.37,6.88,4.34,30.69,26.66,24.93,19.96,20.72,99.34,245.88,7.58,3.81
2022,6,21,1.62,6.76,4.09,30.13,26.44,24.94,20.02,13,99.15,231.88,7.84,3.79
2022,6,22,4.52,6.58,2.02,29.18,25.63,25.12,20.2,22.48,99.31,256.81,4.23,1.66
2022,6,23,5.12,6.18,1.98,31.8,24.83,23.78,18.62,17.38,99.43,233.75,3.73,1.55
2022,6,24,4.28,6.67,2.14,29.47,25.29,24.57,19.59,16.31,99.27,213.5,5.42,1.81
2022,6,25,4.49,6.72,3.05,29.26,25.37,24.71,19.78,5.29,98.96,242.5,6.23,0.54
2022,6,26,3.09,7.18,2.82,29.69,25.19,24.9,20.02,14.31,99.03,208,6.27,1.62
2022,6,27,3.2,7.2,4.2,29.38,25.47,24.94,20.02,17.53,99.24,202.62,8.82,3.09
2022,6,28,2.61,7.13,3.63,30.12,25.94,24.9,19.96,14.12,99.32,222.19,6.42,2.36
2022,6,29,4.9,6.98,3.84,30.62,26,25.48,20.69,33.66,99.19,239.94,7.52,3.27
2022,6,30,1.87,6.99,4.09,29.16,26.12,25.2,20.32,52.41,99.21,230,8.2,2.96
2022,7,1,1.89,6.64,3.68,29.07,25.85,25.3,20.45,67.86,99.27,238,7.72,3.3
2022,7,2,5.71,6.62,4.48,29.94,25.82,25.03,20.14,27.73,99.11,239.06,8.67,3.87
2022,7,3,6.26,6.67,4.83,29.87,25.96,24.85,19.96,20.14,99.08,230.19,9.27,4.1
2022,7,4,4.39,6.64,4.79,28.69,25.88,25.1,20.26,63.8,99.05,238.31,8.56,4.68
2022,7,5,1.32,6.74,4.49,27.96,25.41,24.84,19.96,97.61,98.98,248.62,7.4,4.24
2022,7,6,2.45,6.62,4.61,28.95,25.51,25.01,20.14,83.32,99.07,236.25,9.15,3.62
2022,7,7,2.14,6.33,4.66,28.23,25.44,24.83,19.84,54.55,99.36,242.12,7.88,4.92
2022,7,8,2.94,6.42,4.8,27.54,25.41,24.9,19.96,71.1,99.35,259.25,7.52,5.33
2022,7,9,2.48,6.52,4.81,27.57,25.46,24.84,19.9,44.3,99.2,262.31,8.98,5.24
2022,7,10,3.64,6.6,4.57,26.63,25.18,24.65,19.65,57.38,99.26,260.75,7.98,5.15
2022,7,11,2.15,6.61,4.98,26.81,25.12,24.75,19.78,92.15,99.39,266.88,8.45,5.15
2022,7,12,2.42,7.05,5.16,26.57,25.05,24.43,19.41,78.31,99.37,258.44,8.06,5.11
2022,7,13,1.17,6.84,5.45,26.8,24.77,24.54,19.59,97.86,99.06,252.44,9.07,5.25
2022,7,14,2.31,7.14,5.34,26.34,24.94,24.47,19.53,102.07,98.82,239.5,9.44,5.52
2022,7,15,3.57,6.43,5.4,27,24.9,24.48,19.53,44.43,98.9,225.62,9.44,5.62
2022,7,16,3.91,6.72,5.55,28.23,24.93,24.88,19.96,34.07,99.05,223.75,10.39,5.44
2022,7,17,5.67,6.86,4.38,28.6,25.21,24.95,20.02,18.55,99.3,233.56,7.8,4.04
2022,7,18,3.56,6.79,3.28,26.78,24.9,24.39,19.35,22.58,99.38,243.38,5.8,3
2022,7,19,5.73,6.62,3.99,28.41,24.66,24.63,19.59,32.15,99.42,248.75,7.87,3.37
2022,7,20,5.32,6.77,3.89,28.48,24.65,24.44,19.35,13.99,99.53,251.69,8.73,2.4
2022,7,21,4.82,6.86,3.41,28.53,24.65,24.44,19.35,10.5,99.54,256.75,7.05,2.63
2022,7,22,5.34,6.58,2.99,28.35,24.59,24.33,19.23,6.48,99.59,260.69,6.18,2.61
2022,7,23,4.77,6.69,3.69,27.83,24.69,24.51,19.47,25.04,99.41,261.75,7.39,3.39
2022,7,24,3.98,7.03,3.98,27.73,24.86,24.49,19.47,29.04,99.36,255,7.59,3.79
2022,7,25,5.52,6.91,3.52,27.96,24.48,24.16,19.04,17.29,99.52,240.19,6.4,2.67
2022,7,26,4.16,6.82,2.73,28.77,24.24,24.21,19.04,6.35,99.69,253.25,6.12,1.59
2022,7,27,3,6.84,1.77,29.17,24.02,24.27,19.17,15.21,99.68,289.69,4.79,1.6
2022,7,28,5.96,6.88,1.52,29.49,24.4,24.56,19.47,13.36,99.73,318.38,3.43,1.59
2022,7,29,5.48,7.08,1.83,29.42,24.56,24.79,19.71,1.53,99.71,326.81,3.41,1.73
2022,7,30,6.29,6.97,1.82,29.63,24.57,24.71,19.65,1.2,99.61,309.75,3.62,1.69
